item_number,component_id,component_name,component_type
8011107,9002139,"Lid, 2oz Souffle Cup, PET",NON_FOOD
8011110,9003272,"Label, Limesalt, Large, 3.5x3.5",NON_FOOD
8011110,9000624,"Box, 5.7x5x3.25"", Clamshell, Brown, Kraft",NON_FOOD
8011197,9002139,"Lid, 2oz Souffle Cup, PET",NON_FOOD
8011197,9002355,"Liner, 9.5""x7.25"", Detroit Pizza Box, White, Rectangle, Corrugated",NON_FOOD
8011197,9002138,"Souffle Cup, 2oz, PP",NON_FOOD
8011197,9002356,"Box, 7.5""x9.5""x2.5"", Pizza, Custom, Detroit Brick",NON_FOOD
8011198,9002356,"Box, 7.5""x9.5""x2.5"", Pizza, Custom, Detroit Brick",NON_FOOD
8011198,9002355,"Liner, 9.5""x7.25"", Detroit Pizza Box, White, Rectangle, Corrugated",NON_FOOD
8000163,9000680,"Tray, 52oz, Medium Entrée, Black-Gold, Rectangle, Aluminum",NON_FOOD
8000163,9000681,"Lid, Tray, 52oz, Clear, Rectangle, Dome, Plastic",NON_FOOD
8000163,9001605,"Sleeve, Mainstay, 52oz Black & Gold",NON_FOOD
8003473,9001476,"Tray, 16oz, Black-Gold, Rectangle, Aluminum",NON_FOOD
8003473,9001258,"Paper, Custom, Jota, Greaseproof",NON_FOOD
8003473,9001477,"Lid, Tray, 16oz, Clear, Rectangle, Dome, Plastic",NON_FOOD
8003473,9001301,"Lid, Plate, 9x2.31"", Clear, Round, Poly Plastic",NON_FOOD
8003473,9001299,"Sleeve, Plate, 8.66"", Paperboard, Jota",NON_FOOD
8003473,9001255,"Plate, 8.66"", 30oz, High Edge, White, Porcelain",NON_FOOD
8010470,9002991,"Liner, Pizza, 11x11"" White, Square, Corrugated",NON_FOOD
8010470,9002981,"Pizza Box, Alanza, White Kraft, 11.5""x11.5""",NON_FOOD
8010470,9002320,"Label, Gluten Free Substitution, 1.5"" Round",NON_FOOD
8010470,9001742,"Label, Alanza, Tamper Evident, 1x3",NON_FOOD
8010851,9000033,"Container, 8.5x6.25"", 28oz, Natural, Rectangle, Pulp",NON_FOOD
8010851,9000034,"Lid, Container, 8.5x6.25"", 28oz, Clear, Rectangle, PP Plastic",NON_FOOD
8010855,9000033,"Container, 8.5x6.25"", 28oz, Natural, Rectangle, Pulp",NON_FOOD
8010855,9000034,"Lid, Container, 8.5x6.25"", 28oz, Clear, Rectangle, PP Plastic",NON_FOOD
8010339,9002255,"Lid, 24oz Black Bowl, Clear, Round, Flat, PP Plastic",NON_FOOD
8010339,9002254,"Bowl, 24oz, Black, Round, PP Plastic",NON_FOOD
8010384,9002088,"Lid, Clear, PP, 16oz White Round Bowl",NON_FOOD
8010384,9002087,"Bowl, White, Round, Paper, 16oz",NON_FOOD
8010819,9000370,"Clamshell Box, 6""x6""x3"", Hinged, Brown, Square, Kraft",NON_FOOD
8010819,9002138,"Souffle Cup, 2oz, PP",NON_FOOD
8010819,9002139,"Lid, 2oz Souffle Cup, PET",NON_FOOD
8011261,9002118,"Clamshell, Wing Trip, Large Wing Box",NON_FOOD
8011261,9002096,"Greasepaper, Wing Trip, 9x9",NON_FOOD
8011263,9002117,"Clamshell, Wing Trip, French Fry Box",NON_FOOD
8011263,9002096,"Greasepaper, Wing Trip, 9x9",NON_FOOD
8011265,9002096,"Greasepaper, Wing Trip, 9x9",NON_FOOD
8011265,9002117,"Clamshell, Wing Trip, French Fry Box",NON_FOOD
8011267,9002118,"Clamshell, Wing Trip, Large Wing Box",NON_FOOD
8011267,9002096,"Greasepaper, Wing Trip, 9x9",NON_FOOD
8011269,9002096,"Greasepaper, Wing Trip, 9x9",NON_FOOD
8011269,9002118,"Clamshell, Wing Trip, Large Wing Box",NON_FOOD
8011285,9002096,"Greasepaper, Wing Trip, 9x9",NON_FOOD
8011285,9002118,"Clamshell, Wing Trip, Large Wing Box",NON_FOOD
8011287,9002117,"Clamshell, Wing Trip, French Fry Box",NON_FOOD
8011287,9002096,"Greasepaper, Wing Trip, 9x9",NON_FOOD
8009013,9002610,"Sleeve, Kin House, 24oz Black Round PP",NON_FOOD
8009013,9001984,"Sleeve, Kin House, 16oz Pulp Square & 28 oz Pulp Rectangle",NON_FOOD
8009013,9002254,"Bowl, 24oz, Black, Round, PP Plastic",NON_FOOD
8009013,9002255,"Lid, 24oz Black Bowl, Clear, Round, Flat, PP Plastic",NON_FOOD
8009013,9000034,"Lid, Container, 8.5x6.25"", 28oz, Clear, Rectangle, PP Plastic",NON_FOOD
8009013,9000033,"Container, 8.5x6.25"", 28oz, Natural, Rectangle, Pulp",NON_FOOD
8004638,9001639,Flat Pulp Lid for Pulp Plus Container,NON_FOOD
8004638,9001638,Pulp Plus 36 oz Rectangle Container PFAs Free,NON_FOOD
8004638,9000034,"Lid, Container, 8.5x6.25"", 28oz, Clear, Rectangle, PP Plastic",NON_FOOD
8004638,9001969,32oz Pulp Bowl Clamshell (aka Burrito Bowl Clamshell),NON_FOOD
8004638,9001695,"Sleeve, Limesalt, 36oz PulpPlus Container",NON_FOOD
8004638,9000033,"Container, 8.5x6.25"", 28oz, Natural, Rectangle, Pulp",NON_FOOD
8005006,9001478,"Label, Limesalt, Chicken, 1.5 Round",NON_FOOD
8005006,9001480,"Label, Limesalt, Garlic Steak, 1.5 Round",NON_FOOD
8005006,9001485,"Label, Limesalt, Veggie, 1.5 Round",NON_FOOD
8005006,9001482,"Label, Limesalt, Barbacoa, 1.5 Round",NON_FOOD
8005006,9001483,"Label, Limesalt, Carnitas, 1.5 Round",NON_FOOD
8005006,9000061,"Bowl, 32oz, Natural, Round, Pulp",NON_FOOD
8005006,9001479,"Label, Limesalt, Steak, 1.5 Round",NON_FOOD
8005006,9000042,"Lid, Bowl, 24, 32, 48oz, Clear, Round, PP Plastic",NON_FOOD
8005006,9001481,"Label, Limesalt, Spiced Tofu, 1.5 Round",NON_FOOD
8005006,9000636,"Bowl, 32oz, Clear, Round, Shallow, Plastic",NON_FOOD
8005006,9001748,"Label, Limesalt, Tamper Evident, 1x3",NON_FOOD
8005006,9000503,"Lid, Bowl, 24, 32, 48oz, Clear, Round, Dome, PET Plastic",NON_FOOD
8006286,9000827,"Label, Tejas, Brisket, 1.5 Round",NON_FOOD
8006286,9001506,18x18 Foil Paper,NON_FOOD
8006286,9001734,18x18 Freezer Paper,NON_FOOD
8006286,9001951,"Bag, Greasepaper, Tejas, Proteins",NON_FOOD
8006286,9001744,"Label, Tejas, Tamper Evident, 1x3",NON_FOOD
8006286,9000022,"Lid, Cup, 2oz, Souffle, Clear, Round, Flat, PET Plastic",NON_FOOD
8006286,9000345,"Bag, 3x1x9.75"", Silverware, Brown, Rectangle, Kraft",NON_FOOD
8006286,9000008,"Cup, 2oz, Souffle, Clear, Round, Poly Plastic",NON_FOOD
8000223,9000033,"Container, 8.5x6.25"", 28oz, Natural, Rectangle, Pulp",NON_FOOD
8000223,9000013,"Paper, 6x10.75"", Small, Deli, Parchment",NON_FOOD
8000223,9000034,"Lid, Container, 8.5x6.25"", 28oz, Clear, Rectangle, PP Plastic",NON_FOOD
8000223,9000370,"Clamshell Box, 6""x6""x3"", Hinged, Brown, Square, Kraft",NON_FOOD
8002337,9001225,"Label, Partner Branded, Chuko",NON_FOOD
8002337,9000370,"Clamshell Box, 6""x6""x3"", Hinged, Brown, Square, Kraft",NON_FOOD
8007173,9002138,"Souffle Cup, 2oz, PP",NON_FOOD
8007173,9001727,"Lid, 32 & 48oz Pulp Bowl, PET, Dome",NON_FOOD
8007173,9001830,"Label, Jota, Tamper Evident, 1x3",NON_FOOD
8007173,9000061,"Bowl, 32oz, Natural, Round, Pulp",NON_FOOD
8007173,9002139,"Lid, 2oz Souffle Cup, PET",NON_FOOD
8007252,9001895,"Clamshell, Burger Baby, French Fry Box",NON_FOOD
8007252,9001896,"Clamshell, Burger Baby, Burger Box",NON_FOOD
8009424,9001855,"Sleeve, Hanu Poke, 40oz Paper Bowl",NON_FOOD
8009424,9001868,"Bowl and Lid, Kraft, Round, Paper, 40oz",NON_FOOD
8011192,9002355,"Liner, 9.5""x7.25"", Detroit Pizza Box, White, Rectangle, Corrugated",NON_FOOD
8011192,9002356,"Box, 7.5""x9.5""x2.5"", Pizza, Custom, Detroit Brick",NON_FOOD
8011272,9002096,"Greasepaper, Wing Trip, 9x9",NON_FOOD
8011272,9002117,"Clamshell, Wing Trip, French Fry Box",NON_FOOD
8011275,9002096,"Greasepaper, Wing Trip, 9x9",NON_FOOD
8011275,9002118,"Clamshell, Wing Trip, Large Wing Box",NON_FOOD
8002611,9002426,"Paper, 5x6.5"", Grease, Bankside",NON_FOOD
8002611,9001638,Pulp Plus 36 oz Rectangle Container PFAs Free,NON_FOOD
8002611,9001639,Flat Pulp Lid for Pulp Plus Container,NON_FOOD
8008782,9002117,"Clamshell, Wing Trip, French Fry Box",NON_FOOD
8008782,9002096,"Greasepaper, Wing Trip, 9x9",NON_FOOD
8008782,9002106,"Label, Wing Trip, Small, 2.5x1",NON_FOOD
8008782,9002133,"White Folded Paper #1 Take-Out Container, 4 5/8"" x 3 1/2"" x 2 1/2""",NON_FOOD
8007026,9001746,"Label, Maydan, Tamper Evident, 1x3",NON_FOOD
8007026,9000726,"Bowl, 8oz, Clear, Round, PET Plastic",NON_FOOD
8007026,9000305,"Lid, Bowl, 5.5"", 8, 12, 16oz, Clear, Round, Flat, Plastic",NON_FOOD
8007026,9001890,"Bag, Maydan, Greasepaper, 9x10",NON_FOOD
8004693,9001526,"Sleeve, Royal Greens, 48 oz PET Bowl",NON_FOOD
8004693,9000041,"Bowl, 48oz, Natural, Round, Pulp",NON_FOOD
8004693,9002138,"Souffle Cup, 2oz, PP",NON_FOOD
8004693,9000727,"Bag, 6.75 x 6.5"", Sandwich, Natural, Kraft",NON_FOOD
8004693,9001727,"Lid, 32 & 48oz Pulp Bowl, PET, Dome",NON_FOOD
8004693,9001888,"Bag, Royal Greens, Greasepaper, 6x7",NON_FOOD
8004693,9002139,"Lid, 2oz Souffle Cup, PET",NON_FOOD
8004693,9001832,"Souffle Cup, Hinged, 2oz",NON_FOOD
8004693,9001845,"Label, Royal Greens, Tamper Evident, 1x3",NON_FOOD
8006069,9001502,"Sleeve, Chios, 16oz Pulp Square & 28 oz Pulp Rectangle",NON_FOOD
8006069,9000039,"Container, 6.25x6.25"", 16oz, Natural, Square, Pulp",NON_FOOD
8006069,9000040,"Lid, Container, 6.5x6.5"", 16oz, Clear, Square, PP Plastic",NON_FOOD
8006894,9000040,"Lid, Container, 6.5x6.5"", 16oz, Clear, Square, PP Plastic",NON_FOOD
8006894,9001810,"Sleeve, Alanza, 16oz Pulp Square & 28 oz Pulp Rectangle",NON_FOOD
8006894,9000039,"Container, 6.25x6.25"", 16oz, Natural, Square, Pulp",NON_FOOD
8007774,9001550,"Label, Fred's, Burger Stack, 1.5 Round",NON_FOOD
8007774,9001847,"Clamshell, Fred's, Burger Box",NON_FOOD
8007774,9001551,"Label, Fred's, Bacon Stack, 1.5 Round",NON_FOOD
8007774,9000260,"Sheet, 14x16"", Foil, Insulated, Honeycomb",NON_FOOD
8007774,9000624,"Box, 5.7x5x3.25"", Clamshell, Brown, Kraft",NON_FOOD
8007774,9000382,"Label, Generic, Gluten Free, 1.5 Round",NON_FOOD
8007775,9001550,"Label, Fred's, Burger Stack, 1.5 Round",NON_FOOD
8007775,9001847,"Clamshell, Fred's, Burger Box",NON_FOOD
8007775,9001551,"Label, Fred's, Bacon Stack, 1.5 Round",NON_FOOD
8007775,9000260,"Sheet, 14x16"", Foil, Insulated, Honeycomb",NON_FOOD
8007775,9000624,"Box, 5.7x5x3.25"", Clamshell, Brown, Kraft",NON_FOOD
8010432,9002991,"Liner, Pizza, 11x11"" White, Square, Corrugated",NON_FOOD
8010432,9001742,"Label, Alanza, Tamper Evident, 1x3",NON_FOOD
8010432,9002981,"Pizza Box, Alanza, White Kraft, 11.5""x11.5""",NON_FOOD
8006106,9001550,"Label, Fred's, Burger Stack, 1.5 Round",NON_FOOD
8006106,9000260,"Sheet, 14x16"", Foil, Insulated, Honeycomb",NON_FOOD
8006106,9002320,"Label, Gluten Free Substitution, 1.5"" Round",NON_FOOD
8006106,9001551,"Label, Fred's, Bacon Stack, 1.5 Round",NON_FOOD
8006106,9001847,"Clamshell, Fred's, Burger Box",NON_FOOD
8006106,9000624,"Box, 5.7x5x3.25"", Clamshell, Brown, Kraft",NON_FOOD
8006136,9000370,"Clamshell Box, 6""x6""x3"", Hinged, Brown, Square, Kraft",NON_FOOD
8008412,9002096,"Greasepaper, Wing Trip, 9x9",NON_FOOD
8008412,9002118,"Clamshell, Wing Trip, Large Wing Box",NON_FOOD
8008412,9002138,"Souffle Cup, 2oz, PP",NON_FOOD
8008412,9002134,"White Folded Paper #4 Take-Out Container, 7 7/8 x 5 1/2"" x 3 1/2""",NON_FOOD
8008412,9002109,"Hinged Box, White, 77oz, 9x4.85x2.7"" (Large)",NON_FOOD
8008412,9002105,"Label, Wing Trip, Large, 3.5x3.5",NON_FOOD
8008412,9002139,"Lid, 2oz Souffle Cup, PET",NON_FOOD
8008423,9002096,"Greasepaper, Wing Trip, 9x9",NON_FOOD
8008423,9002134,"White Folded Paper #4 Take-Out Container, 7 7/8 x 5 1/2"" x 3 1/2""",NON_FOOD
8008423,9002118,"Clamshell, Wing Trip, Large Wing Box",NON_FOOD
8008423,9002105,"Label, Wing Trip, Large, 3.5x3.5",NON_FOOD
8008704,9002356,"Box, 7.5""x9.5""x2.5"", Pizza, Custom, Detroit Brick",NON_FOOD
8008704,9002355,"Liner, 9.5""x7.25"", Detroit Pizza Box, White, Rectangle, Corrugated",NON_FOOD
8008900,9002139,"Lid, 2oz Souffle Cup, PET",NON_FOOD
8008900,9002357,"Label, Detroit Brick Pizza, Tamper Evident, 1x3",NON_FOOD
8008900,9000041,"Bowl, 48oz, Natural, Round, Pulp",NON_FOOD
8008900,9002138,"Souffle Cup, 2oz, PP",NON_FOOD
8008900,9000171,"Lid, Bowl, 24, 32, 48oz, Clear, Round, Flat, PET Plastic",NON_FOOD
8009819,9002255,"Lid, 24oz Black Bowl, Clear, Round, Flat, PP Plastic",NON_FOOD
8009819,9002553,"Sleeve, SriPraPhai, 24 oz Round Black PP",NON_FOOD
8009819,9002254,"Bowl, 24oz, Black, Round, PP Plastic",NON_FOOD
8007022,9000034,"Lid, Container, 8.5x6.25"", 28oz, Clear, Rectangle, PP Plastic",NON_FOOD
8007022,9000033,"Container, 8.5x6.25"", 28oz, Natural, Rectangle, Pulp",NON_FOOD
8007022,9001609,"Sleeve, Maydan, 16oz Pulp Square & 28 oz Pulp Rectangle",NON_FOOD
8007022,9001890,"Bag, Maydan, Greasepaper, 9x10",NON_FOOD
8000326,9001727,"Lid, 32 & 48oz Pulp Bowl, PET, Dome",NON_FOOD
8000326,9002139,"Lid, 2oz Souffle Cup, PET",NON_FOOD
8000326,9002138,"Souffle Cup, 2oz, PP",NON_FOOD
8000326,9001747,"Label, Mainstay, Tamper Evident, 1x3",NON_FOOD
8000326,9000041,"Bowl, 48oz, Natural, Round, Pulp",NON_FOOD
8001606,9000041,"Bowl, 48oz, Natural, Round, Pulp",NON_FOOD
8001606,9002139,"Lid, 2oz Souffle Cup, PET",NON_FOOD
8001606,9000042,"Lid, Bowl, 24, 32, 48oz, Clear, Round, PP Plastic",NON_FOOD
8001606,9001238,"Label, Partner Branded, Mozza",NON_FOOD
8001606,9001888,"Bag, Royal Greens, Greasepaper, 6x7",NON_FOOD
8001606,9002138,"Souffle Cup, 2oz, PP",NON_FOOD
8001606,9001727,"Lid, 32 & 48oz Pulp Bowl, PET, Dome",NON_FOOD
8001606,9001526,"Sleeve, Royal Greens, 48 oz PET Bowl",NON_FOOD
8001606,9001845,"Label, Royal Greens, Tamper Evident, 1x3",NON_FOOD
8004962,9001638,Pulp Plus 36 oz Rectangle Container PFAs Free,NON_FOOD
8004962,9001639,Flat Pulp Lid for Pulp Plus Container,NON_FOOD
8004962,9000260,"Sheet, 14x16"", Foil, Insulated, Honeycomb",NON_FOOD
8004962,9001846,"Label, Yasas, Tamper Evident, 1x3",NON_FOOD
8006056,9001887,"Bag, Chios, Greasepaper, 6x7",NON_FOOD
8006056,9001739,"Label, Chios, Tamper Evident, 1x3",NON_FOOD
8006056,9000726,"Bowl, 8oz, Clear, Round, PET Plastic",NON_FOOD
8006056,9000305,"Lid, Bowl, 5.5"", 8, 12, 16oz, Clear, Round, Flat, Plastic",NON_FOOD
8006056,9000263,"Bowl, 12oz, Clear, Round, PET Plastic",NON_FOOD
8006149,9000624,"Box, 5.7x5x3.25"", Clamshell, Brown, Kraft",NON_FOOD
8006149,9001847,"Clamshell, Fred's, Burger Box",NON_FOOD
8006149,9001558,"Label, Fred's, Lil Freds Cheeseburger, 1.5 Round",NON_FOOD
8006149,9002320,"Label, Gluten Free Substitution, 1.5"" Round",NON_FOOD
8006149,9000260,"Sheet, 14x16"", Foil, Insulated, Honeycomb",NON_FOOD
8007200,9001896,"Clamshell, Burger Baby, Burger Box",NON_FOOD
8007200,9002051,"Label, Burger Baby, Bacon, 1.25",NON_FOOD
8007200,9000260,"Sheet, 14x16"", Foil, Insulated, Honeycomb",NON_FOOD
8007200,9001885,"Pleatpak, Burger Baby, XL",NON_FOOD
8007200,9002320,"Label, Gluten Free Substitution, 1.5"" Round",NON_FOOD
8007277,9002137,"Lid, 1oz Souffle Cup, PET",NON_FOOD
8007277,9002117,"Clamshell, Wing Trip, French Fry Box",NON_FOOD
8007277,9002096,"Greasepaper, Wing Trip, 9x9",NON_FOOD
8007277,9002136,"Souffle Cup, 1oz, PP",NON_FOOD
8007277,9002106,"Label, Wing Trip, Small, 2.5x1",NON_FOOD
8007277,9002133,"White Folded Paper #1 Take-Out Container, 4 5/8"" x 3 1/2"" x 2 1/2""",NON_FOOD
8008084,9001896,"Clamshell, Burger Baby, Burger Box",NON_FOOD
8008084,9001885,"Pleatpak, Burger Baby, XL",NON_FOOD
8008084,9000260,"Sheet, 14x16"", Foil, Insulated, Honeycomb",NON_FOOD
8008084,9002050,"Label, Burger Baby, Cheese, 1.25",NON_FOOD
8008084,9000382,"Label, Generic, Gluten Free, 1.5 Round",NON_FOOD
8008084,9002320,"Label, Gluten Free Substitution, 1.5"" Round",NON_FOOD
8008771,9002609,"Sleeve, Walnut Lane, 24oz Black Round PP",NON_FOOD
8008771,9000137,"Sheet, 12x10.75"", Silver, Foil, Aluminum",NON_FOOD
8008771,9002254,"Bowl, 24oz, Black, Round, PP Plastic",NON_FOOD
8008771,9002362,"Sleeve, Walnut Lane, 32 Oz Pulp Bowl",NON_FOOD
8008771,9002255,"Lid, 24oz Black Bowl, Clear, Round, Flat, PP Plastic",NON_FOOD
8008771,9000042,"Lid, Bowl, 24, 32, 48oz, Clear, Round, PP Plastic",NON_FOOD
8008771,9000061,"Bowl, 32oz, Natural, Round, Pulp",NON_FOOD
8008892,9000040,"Lid, Container, 6.5x6.5"", 16oz, Clear, Square, PP Plastic",NON_FOOD
8008892,9000039,"Container, 6.25x6.25"", 16oz, Natural, Square, Pulp",NON_FOOD
8008892,9001810,"Sleeve, Alanza, 16oz Pulp Square & 28 oz Pulp Rectangle",NON_FOOD
8009356,9002609,"Sleeve, Walnut Lane, 24oz Black Round PP",NON_FOOD
8009356,9000042,"Lid, Bowl, 24, 32, 48oz, Clear, Round, PP Plastic",NON_FOOD
8009356,9002255,"Lid, 24oz Black Bowl, Clear, Round, Flat, PP Plastic",NON_FOOD
8009356,9002254,"Bowl, 24oz, Black, Round, PP Plastic",NON_FOOD
8009356,9000137,"Sheet, 12x10.75"", Silver, Foil, Aluminum",NON_FOOD
8009356,9002362,"Sleeve, Walnut Lane, 32 Oz Pulp Bowl",NON_FOOD
8009356,9000061,"Bowl, 32oz, Natural, Round, Pulp",NON_FOOD
8009660,9002139,"Lid, 2oz Souffle Cup, PET",NON_FOOD
8009660,9002138,"Souffle Cup, 2oz, PP",NON_FOOD
8010788,9001896,"Clamshell, Burger Baby, Burger Box",NON_FOOD
8008415,9002096,"Greasepaper, Wing Trip, 9x9",NON_FOOD
8008415,9002118,"Clamshell, Wing Trip, Large Wing Box",NON_FOOD
8008415,9002133,"White Folded Paper #1 Take-Out Container, 4 5/8"" x 3 1/2"" x 2 1/2""",NON_FOOD
8008415,9002106,"Label, Wing Trip, Small, 2.5x1",NON_FOOD
8011203,9001247,"Pizza Box, DiFara, 17x12""",NON_FOOD
8011203,9000317,"Liner, 17x12"", White for Pizza Box",NON_FOOD
8011203,9001637,"Label, DiFara, Tamper Evident, 1x3",NON_FOOD
8008414,9002117,"Clamshell, Wing Trip, French Fry Box",NON_FOOD
8008414,9002139,"Lid, 2oz Souffle Cup, PET",NON_FOOD
8008414,9002138,"Souffle Cup, 2oz, PP",NON_FOOD
8008414,9002106,"Label, Wing Trip, Small, 2.5x1",NON_FOOD
8008414,9002096,"Greasepaper, Wing Trip, 9x9",NON_FOOD
8008414,9000058,"Bottle & Nozzle, 8oz, Squeeze, Clear, Plastic",NON_FOOD
8008414,9002133,"White Folded Paper #1 Take-Out Container, 4 5/8"" x 3 1/2"" x 2 1/2""",NON_FOOD
8008569,9002096,"Greasepaper, Wing Trip, 9x9",NON_FOOD
8008569,9002118,"Clamshell, Wing Trip, Large Wing Box",NON_FOOD
8008569,9002105,"Label, Wing Trip, Large, 3.5x3.5",NON_FOOD
